timestamp,px,py,pz,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,bax,bay,baz,bgx,bgy,bgz,lat,lon,alt
1757074450.000000,-0.000029,-0.011042,-0.006011,-0.004893,-0.068650,0.001217,0.997628,179.445,-172.127,-179.898,0.000001,-0.000000,-0.013962,0.161993,0.006702,-0.040948,0.015103,0.000518,-0.006821,31.45928399,120.43623943,14.056441
1757074451.000000,-0.000706,-0.006103,-0.015964,0.002308,-0.068632,0.053592,0.996199,0.691,-7.845,6.206,-0.000989,0.003933,-0.024008,0.154602,0.000196,-0.040314,0.007550,-0.001154,0.046304,31.45928403,120.43623942,14.046488
1757074452.000000,-0.004457,-0.004597,-0.025804,-0.017582,-0.068091,-0.229083,0.970863,176.225,-172.868,153.211,-0.004120,0.001908,-0.022700,0.129858,0.002182,-0.040989,0.025068,-0.000965,0.173716,31.45928405,120.43623938,14.036648
1757074453.000000,-0.029055,-0.023907,-0.036233,0.037998,-0.066015,0.402664,0.912173,7.064,-5.154,47.955,0.004546,0.028671,-0.024181,0.138941,-0.166838,-0.042693,0.001578,0.002111,0.013017,31.45928387,120.43623912,14.026219
1757074454.000000,0.010038,0.212187,-0.035737,0.055038,-0.059140,0.606083,0.791288,9.140,-1.540,75.023,0.022906,0.410251,-0.024898,0.057978,-0.181091,-0.034733,-0.036238,-0.002214,-0.235329,31.45928600,120.43623954,14.026715
1757074455.000000,0.036708,0.933635,-0.026057,0.079228,-0.069020,0.565995,0.817685,11.991,-1.329,69.521,-0.025443,0.997321,-0.002590,-0.346191,-0.519167,0.046625,0.002070,0.001212,0.008343,31.45929251,120.43623982,14.036395
1757074456.000000,-0.176799,2.299378,-0.009210,0.090229,-0.057433,0.614689,0.781484,12.221,1.212,76.245,-0.325549,1.749473,0.024640,-0.043352,-0.769655,0.008245,0.002767,0.001769,0.013666,31.45930483,120.43623757,14.053244
1757074457.000000,-0.934640,4.708344,0.025965,0.081479,-0.068093,0.808838,0.578364,11.811,3.040,108.552,-0.863196,2.760644,0.027115,-0.482070,-0.318336,0.067393,-0.045588,-0.004224,-0.225632,31.45932655,120.43622960,14.088420
1757074458.000000,-1.804959,7.903821,0.038345,0.079578,-0.064041,0.877997,0.467640,10.806,4.580,123.485,-0.829039,3.535006,0.028781,-0.506016,0.203113,0.069631,-0.047803,0.005235,-0.215993,31.45935537,120.43622044,14.100805
1757074459.000000,-2.364492,11.678579,0.048871,0.097147,-0.072565,0.846209,0.518871,12.974,5.112,116.387,-0.403540,4.152899,0.040054,-0.730829,0.361734,0.138837,-0.037773,0.007545,-0.138454,31.45938942,120.43621455,14.111338
